date	id	role	model	tokens_in	tokens_out
2026-07-19	S001	build	sonnet	1357532	4500
2026-07-19	S001	review	opus	6575470	48848
2026-07-19	S001	remediate	opus	3194072	46909
2026-07-27	S002	build	sonnet	2365034	12871
2026-07-27	S002	review	opus	5516358	50357
2026-07-27	S002	remediate	opus	2290620	19326
2026-07-27	S003	build	sonnet	2541914	47159
2026-07-27	S003	review	sonnet	2997447	26807
2026-07-27	S004	build	opus	4783651	80922
2026-07-27	S004	review	opus	6926235	62327
2026-07-27	S004	remediate	opus	4116978	34158
2026-07-27	S005	build	opus	2456208	53160
2026-07-27	S005	review	sonnet	4932539	25886
2026-07-27	S006	build	sonnet	2773933	31851
2026-07-27	S006	review	sonnet	2239049	24704
2026-07-28	S007	build	sonnet	1677294	13739
2026-07-28	S007	review	opus	4820723	43931
2026-07-28	S007	remediate	opus	9512831	74424
2026-07-28	S008	build	sonnet	2586046	25548
2026-07-28	S008	review	sonnet	4391029	19789
2026-07-28	S009	build	opus	7037836	30739
2026-07-28	S009	review	sonnet	255961	390
